  ra              dec             W(C18O)      AV              AV_sig           AV_n   N(C18O)           N(H2)                   X(C18O)             W(13CO)   AV_2            AV_sig_2        AV_n_2   N(13CO)       N(H2)_2                 X(13CO)         
  64.1522550869   28.37178        0.10877      2.2350994821    1.86952038634    19.0   1.07834578E14     2.10099351318E21        5.1325516868E-8     3.613     2.2168224769    1.46811029861   19.0     3.5819282E15    2.08381312829E21        1.71892966379E-6  
  64.1522550869   28.3821966667   0.38863      2.29441893167   1.84287122781    20.0   3.85287782E14     2.15675379577E21        1.78642449943E-7    3.0891    2.25349038162   1.46263181367   20.0     3.06253374E15   2.1182809587200001E21   1.44576371108E-6  
  64.1522550869   28.3926133333   0.44013      2.46007156909   1.86591175332    19.0   4.36344882E14     2.31246727494E21        1.88692348959E-7    3.0382    2.56417904782   1.46162014037   19.0     3.01207148E15   2.41032830495E21        1.24965195563E-6  
  64.1522550869   28.40303        0.13677      2.67760363843   1.85906055964    21.0   1.35593778E14     2.51694742012E21        5.38723125148E-8    3.3937    2.71177826268   1.45823576255   20.0     3.36451418E15   2.54907156692E21        1.31989788897E-6  
  64.1522550869   28.4134466667   -0.11455     2.77546744373   1.97820543074    23.0   -1.1356487E14     2.6089393971E21         -4.35291329979E-8   3.5034    2.7765355856    1.45768838828   23.0     3.47327076E15   2.60994345047E21        1.33078391387E-6  
  64.1522550869   28.4238633333   -0.10119     2.82816401522   2.11743544198    23.0   -1.00319766E14    2.65847417431E21        -3.77358437293E-8   3.0009    2.8125736936    1.45491476289   21.0     2.97509226E15   2.64381927199E21        1.12530092035E-6  
  64.1522550869   28.43428        -0.16108     2.76906741268   2.33250718779    22.0   -1.59694712E14    2.60292336791E21        -6.13520605211E-8   3.8559    2.69054776865   1.46559622782   22.0     3.82273926E15   2.52911490253E21        1.51149291643E-6  
  64.1522550869   28.4446966667   -0.20322     2.62462445424   2.51699271873    20.0   -2.01472308E14    2.46714698699E21        -8.16620611024E-8   3.7827    2.60170186747   1.47072371994   21.0     3.75016878E15   2.44559975542E21        1.53343521223E-6  
  64.1522550869   28.4551133333   -0.0627672   2.48171318233   2.54016939425    17.0   -6.222740208E13   2.33281039139E21        -2.66748649224E-8   3.9638    2.48094885022   1.48048352314   17.0     3.92971132E15   2.33209191921E21        1.68505850375E-6  
  64.1522550869   28.46553        0.10135      2.40796942731   2.45326417609    15.0   1.0047839E14      2.26349126167E21        4.43908892874E-8    4.0111    2.41796568882   1.48649073395   15.0     3.97660454E15   2.27288774749E21        1.74958246151E-6  
  64.1522550869   28.4759466667   0.11923      2.39299992391   2.27442057609    17.0   1.18204622E14     2.24941992848E21        5.25489351738E-8    4.6054    2.39863115937   1.48087507553   15.0     4.56579356E15   2.2547132898E21         2.02499962219E-6  
  64.1522550869   28.4863633333   0.12004      2.45097214387   2.11713745163    13.0   1.19007656E14     2.30391381523E21        5.16545606928E-8    5.2337    2.50130956071   1.46660603433   13.0     5.18869018E15   2.35123098706E21        2.20679729408E-6  
  64.1522550869   28.49678        -0.24432     2.62688185473   1.84475681329    10.0   -2.42218848E14    2.46926894345E21        -9.80933440413E-8   5.2934    2.65606456998   1.45120937466   10.0     5.24787676E15   2.49670069578E21        2.10192465956E-6  
  64.1522550869   28.5071966667   -0.15362     2.90093879255   1.74803091922    11.0   -1.52298868E14    2.726882465E21          -5.58509103179E-8   5.4623    2.87376987773   1.44598494083   13.0     5.41532422E15   2.70134368507E21        2.00467798671E-6  
  64.1522550869   28.5176133333   0.34027      3.20751806105   1.64805794549    13.0   3.37343678E14     3.01506697739E21        1.11885964899E-7    5.3759    3.27945690296   1.46058574891   12.0     5.32966726E15   3.08268948878E21        1.72890175264E-6  
  64.1522550869   28.52803        0.22805      3.35447260436   1.64701361627    13.0   2.2608877E14      3.1532042481E21         7.17012766097E-8    5.6614    3.31301868473   1.47904117706   12.0     5.61271196E15   3.11423756364E21        1.80227482499E-6  
  64.1640116834   28.1426133333   0.63561      3.40839678871   1.73917048764    14.0   6.30143754E14     3.20389298139E21        1.96680649966E-7    5.6273    3.48376099165   1.4925965804    15.0     5.57890522E15   3.27473533215E21        1.70362018733E-6  
  64.1640116834   28.15303        0.76408      3.56644685262   1.66005537329    15.0   7.57508912E14     3.35246004146E21        2.2595613449E-7     6.242     3.59642211538   1.4856212222    16.0     6.1883188E15    3.38063678846E21        1.8305186825E-6   
  64.1640116834   28.1634466667   0.6834       3.58511359591   1.66966457006    18.0   6.7752276E14      3.37000678015E21        2.01044924891E-7    6.1837    3.58512473279   1.48827658322   18.0     6.13052018E15   3.37001724882E21        1.81913614304E-6  
  64.1640116834   28.1738633333   0.59262      3.54007488908   1.72659789539    17.0   5.87523468E14     3.32767039574E21        1.76556989765E-7    6.3937    3.56133110917   1.49224592694   17.0     6.33871418E15   3.34765124262E21        1.89348104704E-6  
  64.1640116834   28.18428        0.68779      3.29036127081   1.81929495269    20.0   6.81875006E14     3.09293959456E21        2.20461792141E-7    5.9827    3.19590236042   1.50769897819   19.0     5.93124878E15   3.00414821879E21        1.97435291072E-6  
  64.1640116834   28.1946966667   0.50668      3.11452087428   1.88724754244    18.0   5.02322552E14     2.92764962182E21        1.71578780553E-7    5.6466    3.07372311355   1.517435198     19.0     5.59803924E15   2.88929972674E21        1.93750727493E-6  
  64.1640116834   28.2051133333   0.36893      2.94464886435   1.89794127115    18.0   3.65757202E14     2.76796993249E21        1.32139152853E-7    5.0443    2.94467231919   1.51934178007   18.0     5.00091902E15   2.76799198003E21        1.80669563209E-6  
  64.1640116834   28.21553        0.41708      2.90075099528   1.90498543652    16.0   4.13493112E14     2.72670593556E21        1.51645656617E-7    4.9664    2.88937716182   1.51544853464   16.0     4.92368896E15   2.71601453211E21        1.81283601461E-6  
  64.1640116834   28.2259466667   1.0816       3.15199662998   1.93491907909    19.0   1.07229824E15     2.96287683218E21        3.61911176446E-7    5.6861    3.26815133622   1.51352262291   20.0     5.63719954E15   3.07206225605E21        1.8349887047E-6   
  64.1640116834   28.2363633333   0.78432      3.49281187986   1.90751209433    19.0   7.77574848E14     3.28324316707E21        2.36831330618E-7    6.1926    3.58222616955   1.51642851966   19.0     6.13934364E15   3.36729259938E21        1.82322844208E-6  
  64.1640116834   28.24678        0.20693      3.93922925324   1.8224631699     16.0   2.05150402E14     3.70287549804E21        5.54029975106E-8    6.82      3.93912921495   1.52221556798   16.0     6.761348E15     3.70278146205E21        1.82601864822E-6  
  64.1640116834   28.2571966667   0.74143      4.32646778575   1.73859322066    16.0   7.35053702E14     4.0668797186E21         1.80741441316E-7    7.4247    4.26124819138   1.52348794257   15.0     7.36084758E15   4.0055732999E21         1.83765144934E-6  
  64.1640116834   28.2676133333   1.2322       4.64040760591   1.63687369741    13.0   1.22160308E15     4.36198314956E21        2.80056808593E-7    8.4629    4.74903331658   1.54906831112   14.0     8.39011906E15   4.46409131759E21        1.87946851063E-6  
  64.1640116834   28.27803        1.5583       4.87771996763   1.66311643457    14.0   1.54489862E15     4.58505676958E21        3.36942092026E-7    7.6753    4.88161982167   1.55784933845   14.0     7.60929242E15   4.58872263237E21        1.65825939583E-6  
  64.1640116834   28.2884466667   1.5216       5.00740417324   1.76619584749    15.0   1.50851424E15     4.70695992285E21        3.20485889985E-7    7.2034    5.00739271764   1.57447670762   15.0     7.14145076E15   4.70694915458E21        1.51721434107E-6  
  64.1640116834   28.2988633333   0.86193      5.11362068685   1.87905763345    15.0   8.54517402E14     4.80680344564E21        1.77772486781E-7    6.8472    5.09764999991   1.5962919142    15.0     6.78831408E15   4.79179099992E21        1.416654875E-6    
  64.1640116834   28.30928        0.5275       5.08466038777   2.00368396935    13.0   5.229635E14       4.77958076451E21        1.09416186433E-7    5.9921    4.88251242402   1.60664275703   13.0     5.94056794E15   4.58956167858E21        1.29436498647E-6  
  64.1640116834   28.3196966667   0.38193      4.56078930379   2.33483488324    14.0   3.78645402E14     4.28714194556E21        8.83211721954E-8    4.9635    4.42204453425   1.58273097563   14.0     4.9208139E15    4.1567218622E21         1.18382082399E-6  
  64.1640116834   28.3301133333   0.44783      3.94020993388   2.42567775669    15.0   4.43978662E14     3.70379733785E21        1.1987120825E-7     4.3439    3.94024777784   1.5552757648    15.0     4.30654246E15   3.70383291117E21        1.16272590133E-6  
  64.1640116834   28.34053        0.21921      3.21095636876   2.33478020928    15.0   2.17324794E14     3.01829898663E21        7.20024076351E-8    4.1032    3.3607107828    1.52644499542   16.0     4.06791248E15   3.15906813583E21        1.28769380877E-6  
  64.1640116834   28.3509466667   0.52063      2.65052211998   2.15977316401    16.0   5.16152582E14     2.49149079278E21        2.07166160716E-7    3.548     2.3867305516    1.46890576452   16.0     3.5174872E15    2.2435267185E21         1.56783833729E-6  
  64.1640116834   28.3613633333   0.18228      2.20848941838   1.90992579961    17.0   1.80712392E14     2.07598005328E21        8.70491947717E-8    3.3488    2.18907400854   1.4653335343    17.0     3.32000032E15   2.05772956803E21        1.61342888375E-6  
  64.1640116834   28.37178        0.11025      2.21429326735   1.84111619847    21.0   1.0930185E14      2.08143567131E21        5.251272067E-8      3.4969    2.21428289168   1.46025617057   21.0     3.46682666E15   2.08142591818E21        1.66560175393E-6  
  64.1640116834   28.3821966667   0.28792      2.32381450486   1.83827827089    22.0   2.85443888E14     2.1843856345599999E21   1.30674677348E-7    3.3078    2.28870751567   1.45724332402   22.0     3.27935292E15   2.15138506473E21        1.52429845022E-6  
  64.1640116834   28.3926133333   0.34665      2.52098878565   1.86397176296    22.0   3.4366881E14      2.36972945851E21        1.45024491621E-7    3.0628    2.63333484716   1.46399557878   22.0     3.03645992E15   2.47533475633E21        1.22668657734E-6  
