  ra              dec             W(C18O)      AV               AV_sig             AV_n   N(C18O)          N(H2)              X(C18O)             W(13CO)   AV_2             AV_sig_2        AV_n_2   N(13CO)         N(H2)_2            X(13CO)           
  64.8458942819   27.3509466667   0.30469      2.86225537178    1.6360439481       22.0   3.02069666E14    2.69052004947E21   1.1227185096E-7     4.5937    2.39236772749    1.4780778073    24.0     4.55419418E15   2.24882566384E21   2.02514327955E-6  
  64.8458942819   27.3613633333   0.1023       2.21095551323    1.00906531467      22.0   1.0142022E14     2.07829818244E21   4.87996481242E-8    3.3763    1.91833611207    1.47077528122   23.0     3.34726382E15   1.80323594534E21   1.8562539354E-6   
  64.8458942819   27.37178        0.15807      1.84869915093    0.630974433417     23.0   1.56710598E14    1.73777720188E21   9.01787627497E-8    3.0837    1.74029669334    1.46283204035   24.0     3.05718018E15   1.63587889174E21   1.86883038558E-6  
  64.8576508784   27.2363633333   2.8039       13.789566283     1.99200881676      2.0    2.77978646E15    1.2962192306E22    2.14453419173E-7    10.764    14.0847327549    1.96361799551   3.0      1.06714296E16   1.32396487896E22   8.06020595381E-7  
  64.8576508784   27.24678        2.7662       14.3857804206    1.97808433184      3.0    2.74241068E15    1.35226335953E22   2.02801522401E-7    10.095    14.3695498608    1.95308255116   3.0      1.0008183E16    1.35073768691E22   7.40942012426E-7  
  64.8576508784   27.2571966667   2.5486       12.5349070087    1.89058748901      7.0    2.52668204E15    1.17828125882E22   2.14437938403E-7    9.1863    13.4052944038    1.81729254976   5.0      9.10729782E15   1.26009767396E22   7.22745387776E-7  
  64.8576508784   27.2676133333   2.2924       11.5210002581    1.80140659368      8.0    2.27268536E15    1.08297402426E22   2.09855943826E-7    8.4527    10.9697719585    1.62798647307   9.0      8.38000678E15   1.0311585641E22    8.12678774317E-7  
  64.8576508784   27.27803        2.0464       10.3153724437    1.79270682606      9.0    2.02880096E15    9.69645009709E21   2.09231310396E-7    8.4419    9.97974222994    1.56423145092   9.0      8.36929966E15   9.38095769614E21   8.92158341514E-7  
  64.8576508784   27.2884466667   1.8171       9.2991707101     1.86824004115      12.0   1.80147294E15    8.74122046749E21   2.06089406702E-7    8.1615    9.26875057766    1.54165454284   12.0     8.0913111E15    8.712625543E21     9.28688035549E-7  
  64.8576508784   27.2988633333   1.6463       8.28714009498    2.18955714985      15.0   1.63214182E15    7.78991168928E21   2.09519938749E-7    7.8338    8.53547111254    1.52202056273   14.0     7.76642932E15   8.02334284579E21   9.6797924123E-7   
  64.8576508784   27.30928        1.3425       7.01343330011    2.66020865185      18.0   1.3309545E15     6.59262730211E21   2.0188529383E-7     6.9104    6.37563897446    1.50256129565   19.0     6.85097056E15   5.99310063599E21   1.14314291985E-6  
  64.8576508784   27.3196966667   0.89381      5.75240409689    2.94756825586      19.0   8.86123234E14    5.40725985108E21   1.63876576751E-7    6.9007    5.08559770689    1.49359838951   20.0     6.84135398E15   4.78046184448E21   1.43110732866E-6  
  64.8576508784   27.3301133333   0.55278      4.28375592105    2.73224536852      23.0   5.48026092E14    4.02673056579E21   1.36097035311E-7    6.8789    4.12456396511    1.49523207167   23.0     6.81974146E15   3.8770901272E21    1.75898450545E-6  
  64.8576508784   27.34053        0.21356      3.10619733059    2.3280221586       21.0   2.11723384E14    2.91982549076E21   7.25123418062E-8    6.2422    3.18550022869    1.49561295624   23.0     6.18851708E15   2.99437021497E21   2.06671741826E-6  
  64.8576508784   27.3509466667   0.12268      2.24255268597    0.576319245131     25.0   1.21624952E14    2.10799952481E21   5.76968593058E-8    4.154     1.90717475017    1.4822953378    27.0     4.1182756E15    1.79274426516E21   2.29719078177E-6  
  64.8576508784   27.3613633333   0.19204      1.73853859365    -0.461618397459    25.0   1.90388456E14    1.63422627803E21   1.16500669803E-7    3.3358    1.52021224548    1.47595415062   26.0     3.30711212E15   1.42899951075E21   2.31428499109E-6  
  64.8576508784   27.37178        0.33139      1.47961694306    -1.07648587543     25.0   3.28540046E14    1.39083992648E21   2.36217007972E-7    2.6378    1.37902925368    1.46908259428   26.0     2.61511492E15   1.29628749846E21   2.01738805867E-6  
