  ra              dec             W(C18O)       AV               AV_sig             AV_n   N(C18O)           N(H2)                   X(C18O)              W(13CO)   AV_2             AV_sig_2        AV_n_2   N(13CO)         N(H2)_2            X(13CO)           
  64.1640116834   27.7884466667   0.13775       1.44311017796    2.02952224261      17.0   1.3656535E14      1.35652356728E21        1.00673039005E-7     2.4277    1.44306075497    1.50972101334   17.0     2.40682178E15   1.35647710967E21   1.77431802044E-6  
  64.1640116834   27.7988633333   0.19047       1.48143828313    1.42557354866      15.0   1.88831958E14     1.39255198614E21        1.35601370634E-7     2.329     1.47957939669    1.51332079667   15.0     2.3089706E15    1.39080463288E21   1.6601689018E-6   
  64.1640116834   27.80928        0.20379       1.50526472197    1.25922729053      16.0   2.02037406E14     1.41494883865E21        1.42787781778E-7     2.5878    1.51685810487    1.49205926365   16.0     2.56554492E15   1.42584661858E21   1.79931339499E-6  
  64.1640116834   27.8196966667   0.16749       1.62005766086    1.21242257644      14.0   1.66049586E14     1.5228542012E21         1.09038400307E-7     2.7435    1.64000935507    1.4853463911    13.0     2.7199059E15    1.54160879376E21   1.76432951797E-6  
  64.1757682799   27.6946966667   0.00397904    1.4014450206     1.33030039159      23.0   3.944820256E12    1.3173583193600001E21   2.99449299254E-9     1.7522    1.37103541678    1.54451057556   23.0     1.73713108E15   1.28877329177E21   1.34789500302E-6  
  64.1757682799   27.7051133333   0.0398408     1.28271653616    0.778460360497     24.0   3.949816912E13    1.20575354399E21        3.27580783957E-8     1.9194    1.27943926396    1.54091796553   24.0     1.90289316E15   1.20267290812E21   1.58222002603E-6  
  64.1757682799   27.71553        0.0872611     1.21089266835    0.505335257303     26.0   8.651065454E13    1.13823910825E21        7.60039379361E-8     2.2414    1.22056445597    1.53291428929   25.0     2.22212396E15   1.14733058861E21   1.93677740493E-6  
  64.1757682799   27.7259466667   -0.042996     1.12900119174    0.357389338805     23.0   -4.26262344E13    1.06126112024E21        -4.01656421658E-8    2.8598    1.10803387832    1.52908948877   23.0     2.83520572E15   1.04155184562E21   2.72209754312E-6  
  64.1757682799   27.7363633333   -1.51388E-4   1.10098680985    0.48005149643      25.0   -1.500860632E11   1.03492760126E21        -1.45020833358E-10   2.7764    1.08094115847    1.52415425943   24.0     2.75252296E15   1.01608468897E21   2.70895033642E-6  
  64.1757682799   27.74678        0.0585394     1.12280968651    0.942523203502     21.0   5.803596116E13    1.05544110532E21        5.49873989817E-8     3.0471    1.09325216034    1.5198141362    22.0     3.02089494E15   1.02765703072E21   2.93959448503E-6  
  64.1757682799   27.7571966667   -0.1154       1.24864826388    1.48136640338      20.0   -1.1440756E14     1.17372936804E21        -9.74735429775E-8    2.7669    1.19867023756    1.51564427464   21.0     2.74310466E15   1.12675002331E21   2.43452815909E-6  
  64.1757682799   27.7676133333   -0.19522      1.39848007326    1.76471123532      20.0   -1.93541108E14    1.31457126887E21        -1.47227550597E-7    2.3377    1.45611162225    1.52772605569   16.0     2.31759578E15   1.36874492492E21   1.69322693937E-6  
  64.1757682799   27.77803        -0.0940856    1.56783969163    2.04940630037      17.0   -9.327646384E13   1.47376931014E21        -6.32910885025E-8    2.4093    1.56868169411    1.5302947492    17.0     2.38858002E15   1.47456079246E21   1.61985862652E-6  
  64.1757682799   27.7884466667   0.20716       1.62714770205    1.32754585477      18.0   2.05378424E14     1.52951883993E21        1.34276491821E-7     2.4729    1.62741982183    1.53518806764   16.0     2.45163306E15   1.52977463252E21   1.60261061197E-6  
  64.1757682799   27.7988633333   0.18589       1.6300018281     0.795168466875     15.0   1.84291346E14     1.53220171841E21        1.20278775167E-7     2.2034    1.6582726144     1.5356635273    14.0     2.18445076E15   1.55877625754E21   1.40138826816E-6  
  64.1757682799   27.80928        0.18269       1.64419674946    0.706088677663     17.0   1.81118866E14     1.5455449445E21         1.17187705634E-7     2.6778    1.70097481913    1.50850027805   14.0     2.65477092E15   1.59891632998E21   1.66035637401E-6  
  64.1757682799   27.8196966667   0.14831       1.72119399541    0.744606097395     15.0   1.47034534E14     1.61792235568E21        9.08786095226E-8     2.862     1.80277834367    1.49640608494   13.0     2.8373868E15    1.69461164305E21   1.67435814078E-6  
  64.1875248764   27.6946966667   0.0291165     1.42383585563    0.527625894388     23.0   2.88660981E13     1.33840570429E21        2.15675247105E-8     2.0286    1.39372099187    1.5323040447    25.0     2.01115404E15   1.31009773236E21   1.53511756438E-6  
  64.1875248764   27.7051133333   0.0388453     1.26405155412    0.17085684642      24.0   3.851123042E13    1.18820846087E21        3.24111733657E-8     2.3488    1.2576955225     1.5344486847    26.0     2.32860032E15   1.18223379115E21   1.9696614472E-6   
  64.1875248764   27.71553        0.0347176     1.19991184124    0.0264554671688    26.0   3.441902864E13    1.12791713076E21        3.05155651078E-8     2.2576    1.20643201984    1.53365111124   27.0     2.23818464E15   1.13404609865E21   1.97362756475E-6  
  64.1875248764   27.7259466667   0.0448626     1.13595341545    -0.0975124897852   22.0   4.447678164E13    1.06779621052E21        4.16528745857E-8     2.3245    1.16919136711    1.53860899739   26.0     2.3045093E15    1.09903988509E21   2.09683864187E-6  
  64.1875248764   27.7363633333   0.13189       1.15314423605    -0.0195856581259   25.0   1.30755746E14     1.08395558188E21        1.206283248E-7       2.7467    1.19608252351    1.54027249948   27.0     2.72307838E15   1.1243175721E21    2.42198329687E-6  
  64.1875248764   27.74678        0.0673815     1.20769777414    0.349216750217     20.0   6.68020191E13     1.13523590769E21        5.88441738387E-8     2.8653    1.25850722755    1.54274394824   23.0     2.84065842E15   1.18299679389E21   2.40123932259E-6  
  64.1875248764   27.7571966667   -0.1218       1.35442597214    0.774128108968     21.0   -1.2075252E14     1.27316041381E21        -9.48447019636E-8    2.6525    1.39726824351    1.54735301683   25.0     2.6296885E15    1.3134321489E21    2.00215024598E-6  
  64.1875248764   27.7676133333   -0.19085      1.45456107289    1.0385104763       22.0   -1.8920869E14     1.36728740851E21        -1.38382529395E-7    2.8694    1.54167507906    1.55752935439   21.0     2.84472316E15   1.44917457432E21   1.96299549441E-6  
