  ra              dec             W(C18O)       AV               AV_sig          AV_n   N(C18O)           N(H2)              X(C18O)              W(N2H)         
  64.1522517595   28.2884444444   1.5256        5.17904032852    1.56902991548   17.0   1.51247984E15     4.86829790881E21   3.10679393154E-7     -0.07829833    
  64.1522517595   28.2988611111   0.77626       5.05190772694    1.5667647397    18.0   7.69584164E14     4.74879326332E21   1.6205888977E-7      0.163706       
  64.1522517595   28.3092777778   0.36477       4.79800880867    1.55266489158   16.0   3.61632978E14     4.51012828015E21   8.01824151193E-8     0.316539       
  64.1522517595   28.3196944444   0.21173       4.24405505732    1.52931089528   16.0   2.09909122E14     3.98941175388E21   5.26165597712E-8     0.29072        
  64.1522517595   28.3301111111   0.43722       3.69307713377    1.51014467655   17.0   4.33459908E14     3.47149250575E21   1.24862694441E-7     0.20787281     
  64.1522517595   28.3405277778   0.19937       3.1259256254     1.49256967339   16.0   1.97655418E14     2.93837008787E21   6.72670263068E-8     -0.152947      
  64.1522517595   28.3509444444   0.52741       2.67574505148    1.48378909134   17.0   5.22874274E14     2.51520034839E21   2.07885735359E-7     -0.23679505    
  64.1522517595   28.3613611111   0.17577       2.28308022368    1.47515445777   18.0   1.74258378E14     2.14609541026E21   8.11978708715E-8     0.0066078      
  64.1522517595   28.3717777778   0.10877       2.23513162054    1.47005379179   19.0   1.07834578E14     2.10102372331E21   5.13247788703E-8     0.01118868     
  64.1522517595   28.3821944444   0.38863       2.29440312967    1.46279192927   20.0   3.85287782E14     2.15673894189E21   1.78643680288E-7     0.0784806      
  64.1522517595   28.3926111111   0.44013       2.46004514823    1.45991878171   19.0   4.36344882E14     2.31244243933E21   1.88694375513E-7     -0.0196878     
  64.1522517595   28.4030277778   0.13677       2.67757746786    1.45850512164   21.0   1.35593778E14     2.51692281979E21   5.38728390613E-8     0.32128143     
  64.1522517595   28.4134444444   -0.11455      2.77545082739    1.45569688992   23.0   -1.1356487E14     2.60892377774E21   -4.35293936024E-8    0.5944075      
  64.1522517595   28.4238611111   -0.10119      2.82815810147    1.45785026219   23.0   -1.00319766E14    2.65846861538E21   -3.77359226359E-8    -0.0174587     
  64.1522517595   28.4342777778   -0.16108      2.76908565893    1.46008292966   22.0   -1.59694712E14    2.60294051939E21   -6.13516562558E-8    -0.6302722     
  64.1522517595   28.4446944444   -0.20322      2.62466343636    1.46793557573   20.0   -2.01472308E14    2.46718363018E21   -8.16608482382E-8    -0.2596687     
