 
  ra              dec             W(C18O)     AV              AV_sig            AV_n   N(C18O)         N(H2)              X(C18O)            W(13CO)   AV_2            AV_sig_2        AV_n_2   N(13CO)         N(H2)_2                 X(13CO)           
  65.6923692317   26.59053        0.24166     1.42306577206   11.6933418131     17.0   2.39581724E14   1.33768182574E21   1.79102174665E-7   3.1109      1.62403228119   1.50268066556   17.0     3.08414626E15   1.52659034432E21        2.02028413941E-6  
  65.6923692317   26.6009466667   0.31436     1.34654639788   1.25872353188     16.0   3.11656504E14   1.26575361401E21   2.46222092949E-7   3.2332      1.49908861099   1.4981979387    17.0     3.20539448E15   1.40914329433E21        2.27471151649E-6  
  65.6923692317   26.6113633333   0.21642     1.41423099146   0.785058425957    16.0   2.14558788E14   1.32937713198E21   1.6139798319E-7    3.3398      1.54843501461   1.50928990507   17.0     3.31107772E15   1.45552891373E21        2.27482785726E-6  
  65.6923692317   26.62178        0.24821     1.55351284629   0.421596735842    19.0   2.46075394E14   1.46030207552E21   1.68509925532E-7   3.6602      1.63441041777   1.51730876085   19.0     3.62872228E15   1.5363457927E21         2.36191767325E-6  
  65.6923692317   26.6321966667   0.31228     1.69408142813   0.275076064585    18.0   3.09594392E14   1.59243654244E21   1.94415528499E-7   3.7299      1.72996911165   1.52583314713   17.0     3.69782286E15   1.62617096495E21        2.27394470797E-6  
  65.6923692317   26.6426133333   0.23252     1.97994744195   0.506287613931    20.0   2.30520328E14   1.86115059543E21   1.2385904105E-7    3.7491      2.11823671653   1.54053234673   20.0     3.71685774E15   1.99114251354E21        1.86669598721E-6  
  65.6923692317   26.65303        0.16864     2.19869600271   1.07182798696     22.0   1.67189696E14   2.06677424255E21   8.08940292356E-8   3.988       2.33584615932   1.54069838828   21.0     3.9537032E15    2.19569538976E21        1.80066106548E-6  
  65.6923692317   26.6634466667   0.26745     2.40342506189   1.65317324427     21.0   2.6514993E14    2.25921955818E21   1.17363506809E-7   4.2532      2.50131841089   1.53891426162   20.0     4.21662248E15   2.35123930624E21        1.79336168327E-6  
  65.6923692317   26.6738633333   0.3803      2.61206870251   3.27597147321     21.0   3.7702942E14    2.45534458036E21   1.53554585787E-7   4.2417      2.65362172298   1.53916383691   21.0     4.20522138E15   2.4944044196E21         1.68586190233E-6  
  65.6923692317   26.68428        0.20099     2.72363630077   4.36054186059     21.0   1.99261486E14   2.56021812272E21   7.78298865365E-8   4.064       2.8710426307    1.53863126582   23.0     4.0290496E15    2.69878007286E21        1.49291512877E-6  
  65.6923692317   26.6946966667   0.18647     2.83410396236   5.55669884455     23.0   1.84866358E14   2.66405772462E21   6.93927748981E-8   3.8329      2.97647661414   1.54509112427   22.0     3.79993706E15   2.79788801729E21        1.3581447994E-6   
  65.6923692317   26.7051133333   0.22338     3.00442354825   6.3607664618      23.0   2.21458932E14   2.82415813536E21   7.84159106486E-8   3.5627      3.14201966876   1.55473223084   22.0     3.53206078E15   2.95349848863E21        1.19589049854E-6  
  65.6923692317   26.71553        0.20811     3.10828794202   6.02369732731     25.0   2.06320254E14   2.9217906655E21    7.06143175952E-8   3.3825      3.23765741903   1.55541864341   24.0     3.3534105E15    3.04339797389E21        1.10186394575E-6  
  65.6923692317   26.7259466667   0.36274     3.35058537438   5.18083884554     23.0   3.59620436E14   3.14955025192E21   1.14181520292E-7   2.6988      3.62388509333   1.5568593632    21.0     2.67559032E15   3.40645198773E21        7.85447829483E-7  
  65.6923692317   26.7363633333   0.48605     3.5708891198    4.05961882072     20.0   4.8186997E14    3.35663577261E21   1.43557419584E-7   2.9513      3.7878851532    1.55402535984   22.0     2.92591882E15   3.56061204401E21        8.21746032378E-7  
  65.6923692317   26.74678        0.41601     3.86170020369   3.02841604919     24.0   4.12432314E14   3.62999819147E21   1.13617773962E-7   3.4137      4.01006369759   1.55355960479   23.0     3.38434218E15   3.76945987574E21        8.97832127564E-7  
